GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Ano;Emendas Orçamentárias ;sim;não;não;;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Autor da Emenda;Emendas Orçamentárias ;não;sim;sim;Nome do Deputado Estadual ou Comissão que propôs a emenda ao Projeto de Lei do Orçamento;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Valor da Emenda Orçamentária;Emendas Orçamentárias / Autor da Emenda;não;não;sim;Valor monetário da emenda fixado na Lei Orçamentária Anual;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Número da Emenda Orçamentária;Emendas Orçamentárias / Autor da Emenda;não;sim;sim;Número identificador da emenda ao Projeto de Lei Orçamentária;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Grupo;Emendas Orçamentárias / Autor da Emenda;não;não;sim;Classificação da despesa que agrega elementos de despesa quanto ao objeto do gasto (pessoal, juros, amortização da dívida, investimentos, etc.).;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Modalidade de Aplicação;Emendas Orçamentárias / Autor da Emenda;não;não;sim;Indica se os recursos são aplicados diretamente por órgãos ou entidades no âmbito da mesma esfera de Governo ou por outro ente da Federação.;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Indicador de Ação Governamental;Emendas Orçamentárias / Autor da Emenda;não;não;sim;Indica o tipo de acompanhamento que é feito da ação: geral ou intensivo;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Fonte de Recurso;Emendas Orçamentárias / Autor da Emenda;não;não;sim;Indica a origem do dinheiro arrecadado. Combina a origem do dinheiro às despesas orçamentárias. Esta vinculação visa demonstrar o montante de dinheiro que já está comprometido com o atendimento de determinadas finalidades, e aquele que pode ser livremente alocado.;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Pesquisa Básica;;Identificador de Procedência e Uso;Emendas Orçamentárias / Autor da Emenda;não;não;sim;Identifica a origem e a utilização dos recursos. Ex.: se os recursos são para livre utilização, se foram transferidos de outra unidade orçamentária, se são para contrapartida a convênios, etc.;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Formulário de Detalhamento;Emenda Orçamentária;Número da Emenda Orçamentária;Emendas Orçamentárias / Autor da Emenda / Emenda Orçamentária;não;não;não;;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Formulário de Detalhamento;Emenda Orçamentária;Autor;Emendas Orçamentárias / Autor da Emenda / Emenda Orçamentária;não;não;não;;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Formulário de Detalhamento;Emenda Orçamentária;Unidade Orçamentária Beneficiada;Emendas Orçamentárias / Autor da Emenda / Emenda Orçamentária;não;não;não;;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Formulário de Detalhamento;Emenda Orçamentária;Valor;Emendas Orçamentárias / Autor da Emenda / Emenda Orçamentária;não;não;não;;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Formulário de Detalhamento;Emenda Orçamentária;Dedução (Origem do Recurso);Emendas Orçamentárias / Autor da Emenda / Emenda Orçamentária;não;não;não;;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
Planejamento e Resultados;Emendas Orçamentárias;Formulário de Detalhamento;Emenda Orçamentária;Objeto do Gasto;Emendas Orçamentárias / Autor da Emenda / Emenda Orçamentária;não;não;não;;Os dados para conferêcia são extraídos a partir da tabela enviada a CGE pela SEPLAG;;SISOR - TRANSACIONAL;;;
